headline,source,intro,date,datetime
Bank of Japan maintains interest rate at 0.5% amid economic uncertainties - CHOSUNBIZ,Chosun Biz,"Bank of Japan maintains interest rate at 0.5% amid economic uncertainties ... The Bank of Japan, Japan's Central Bank, on the 1st froze the benchmark interest...",1 May 2025,2025-05-01
Bank of Japan holds interest rate amid US tariff pressure,China Daily,"The updated projections show growth of 0.5 percent for fiscal 2025 and 0.7 percent for fiscal 2026, down from the previous estimates of 1.1 percent and 1.0...",1 May 2025,2025-05-01
Bank of Japan keeps policy rate unchanged,Anadolu Ajansı,ISTANBUL. The Bank of Japan kept its policy interest rate unchanged on Thursday at 0.5% in line with market expectations. The bank's Economic Activity and...,1 May 2025,2025-05-01
Bank of Japan Keeps Rates Unchanged as Tariffs Cloud Outlook,Bloomberg,The Bank of Japan kept its benchmark interest rate unchanged amid widespread market expectations that Governor Kazuo Ueda wouldn't raise rates given the...,30 Apr 2025,2025-04-30
BoJ Governor Ueda sheds light on policy path after maintaining interest rate,FXStreet,Bank of Japan (BoJ) Governor Kazuo Ueda is addressing a press conference to explain the reasons behind holding the key interest rate at 0.50% on Thursday.,30 Apr 2025,2025-04-30
Bank of Japan to hit pause on rate-hike path as economic risks mount,The Business Times,"[TOKYO] The Bank of Japan (BOJ) is widely expected to signal a pause in policy normalisation this week as US tariffs heighten global uncertainty,...",28 Apr 2025,2025-04-28
BOJ to Hit Pause on Rate-Hike Path as Economic Risks Mount,Bloomberg.com,The Bank of Japan is expected to keep its benchmark rate at 0.5% and signal a pause in policy normalization due to US tariffs and global uncertainty. The...,27 Apr 2025,2025-04-27
"BOJ to keep policy rate unchanged, revise growth forecast downward",Nikkei Asia,"TOKYO -- The Bank of Japan is expected to keep the policy interest rate at 0.5% at monetary policy meetings this week, as an unpredictable trade polic.",27 Apr 2025,2025-04-27
Yen and BOJ's rate policy may remain focus in Japan-U.S. trade talks,The Japan Times,A closer look at officials' descriptions of the meeting suggests currencies and the Bank of Japan's interest rate policy may remain key factors in broader...,26 Apr 2025,2025-04-26
"ANALYSIS-Yen, BOJ's rate policy may remain focus in Japan-US trade talks",朝日新聞,A closer look at officials' descriptions of the meeting suggests currencies and the Bank of Japan's interest rate policy may remain key factors in broader...,26 Apr 2025,2025-04-26
Japan Metropolitan Fund Sets Interest Rate for New Loans,TipRanks,The latest announcement is out from Japan Retail Investment ( ($JP:8953) ). Japan Metropolitan Fund Investment Corporation has announced the interest rate...,25 Apr 2025,2025-04-25
Japan: Inflation rate from 1980 to 2030,Statista,"In 2024, Japan had an average inflation rate estimated at 2.74 percent, marking the highest rate of inflation in Japan in almost a decade.",25 Apr 2025,2025-04-25
BOJ Watchers Expect Delay in Rate Hikes With Lower Terminal Rate,Bloomberg,Bank of Japan watchers forecast a delay in interest-rate hikes and a lower level at the end of the cycle after US President Donald Trump's tariff measures...,23 Apr 2025,2025-04-23
BOJ Watchers Expect Delay in Rate Hikes With Lower Terminal Rate,Bloomberg,Bank of Japan watchers forecast a delay in interest-rate hikes and a lower level at the end of the cycle after US President Donald Trump's tariff measures...,23 Apr 2025,2025-04-23
Bank of Japan expected to maintain interest rate,Dimsum Daily,A recent Reuters survey of economists indicates that the Bank of Japan (BOJ) will likely keep its key interest rate unchanged through June.,23 Apr 2025,2025-04-23
"Japan’s core inflation accelerates, complicating BOJ’s rate path",The Straits Times,"Japan's core inflation accelerated in March due to persistent rises in food costs, data showed on April 18, complicating the central bank's task of weighing...",18 Apr 2025,2025-04-18
"Japan's core inflation accelerates, complicating BOJ's rate path",Reuters,"Japan's core inflation accelerated in March due to persistent rises in food costs, data showed on Friday, complicating the central bank's task of weighing...",18 Apr 2025,2025-04-18
BoJ’s Ueda: Japan’s real interest rate remains very low,FXStreet,BoJ's Ueda: Japan's real interest rate remains very low ... Bank of Japan Governor Kazuo Ueda said on Thursday that Japan's real interest rates remain very low.,17 Apr 2025,2025-04-17
Bank of Japan Holds Rates at 0.5% amid Global Uncertainty,IR Insider,"The Bank of Japan (BOJ) held its short-term interest rate at 0.5% in its March 19 meeting. The decision was widely expected, reflecting the central bank's...",17 Apr 2025,2025-04-17
Bank of Japan Governor Ueda says Japan's real interest rate remains very low,investingLive,"Bank of Japan Governor Ueda says Japan's real interest rate remains very low · We will guide policy appropriately while scrutinising domestic, overseas economic...",16 Apr 2025,2025-04-16
Hedge funds and asset managers boost bullish yen bets amid tariffs,The Japan Times,Yen optimism is spreading among hedge funds and asset managers as US tariffs drive haven demand at a time when traders are reassessing the Bank of Japan's...,14 Apr 2025,2025-04-14
"BOJ May Mull Halting Rate Hikes If Yen Nears 130, Goldman Says",Bloomberg.com,"The Bank of Japan may consider pausing its interest-rate hikes if the yen strengthens toward 130 per US dollar and its outlook for sustained inflation dims,...",13 Apr 2025,2025-04-13
"Bank of Japan to cut interest rates today. What would that do for Bitcoin, bonds, stocks, and gold?",Mitrade,"In July 2024, the bank said it would cut bond buying by ¥400 billion every quarter, which would lower total holdings by about 7% to 8% by early 2026. These cuts...",11 Apr 2025,2025-04-11
"Japan household inflation expectations rise, keep BOJ rate hike view alive",CNA,"TOKYO: Japanese households' inflation expectations heightened in the three months to March, a Bank of Japan survey showed on Friday (Apr 11),...",11 Apr 2025,2025-04-11
Trump tariff talks may pressure BOJ to hike rates,Nikkei Asia,"TOKYO -- Planned talks between Japan and the U.S. about the ""reciprocal tariffs"" that have roiled markets could end up putting pressure on the Bank of.",9 Apr 2025,2025-04-09
Scott Bessent Brushes Off Stronger Yen Ahead of Trade Talks With Japan,Bloomberg,"US Treasury Secretary Scott Bessent suggested he's not concerned about the yen's recent appreciation against the dollar, a sign that past interventions to...",9 Apr 2025,2025-04-09
"Inflation, yields and portfolios in Japan: Adapting to changes",World Gold Council,"After a sizable rise in 2024, the 10-year Japanese government bond (JGB) yield has climbed further in 2025 to date.",9 Apr 2025,2025-04-09
Japan DPP Leader Floats BOJ Rate Cut If Tariffs Throttle Economy,Bloomberg.com,"The leader of a key opposition party in Japan said the central bank may have to reverse course on policy, not only putting aside any notions of hiking interest...",8 Apr 2025,2025-04-08
Analyzing Impacts of Zero Interest Rates With New Economic Models,上智大学,"Matthias Schlegl in the Faculty of Economics, applies new macroeconomic models to study economic dynamics with zero interest rates.",3 Apr 2025,2025-04-03
Japanese investors mull impact of interest rate hikes,Private Equity Real Estate | PERE,"In January, the Bank of Japan (BoJ) raised its key interest rate to around 0.5 percent, the highest level in 17 years. The hike is the latest in a series of...",1 Apr 2025,2025-04-01
Japan confronts biggest bond loss globally as BOJ rate hikes upend market,The Japan Times,The Bank of Japan's pivot to interest-rate hikes in the past year triggered the biggest losses among global debt markets.,1 Apr 2025,2025-04-01
Rate rise pressure underestimated in Japan,ING THINK economic and financial analysis | ING Think,We think the Bank of Japan will hike rates by more than the market expects and see the longer-term neutral rate at closer to 2%.,1 Apr 2025,2025-04-01
Japan’s Business Sentiment Stays Positive as BOJ Mulls Hike Pace,Bloomberg,"Japan's large manufacturers remained relatively upbeat about business conditions, reflecting a degree of resilience that supports the case for the central...",31 Mar 2025,2025-03-31
Bank of Japan signals continued interest rate hikes,Dimsum Daily,Bank of Japan Governor Kazuo Ueda reaffirmed the central bank's commitment to raising interest rates if its underlying inflation targets appear achievable.,24 Mar 2025,2025-03-24
Japan corporate bond offerings near record levels on rate rise expectations,Nikkei Asia,"TOKYO -- Corporate bond issuance in Japan is on track to reach 13.7 trillion yen ($92.1 billion) this fiscal year, the third-largest value ever, as co.",22 Mar 2025,2025-03-22
"Japan core inflation rose 3% in February, bolstering expectations of interest rate hikes",NBC New York,"Japan's core inflation beat expectations and came in at 3% in February, government data showed on Friday, bolstering the case for further interest rate...",20 Mar 2025,2025-03-20
The world’s lowest interest rate no longer belongs to Japan,MarketWatch,Referenced Symbols ... The world's lowest interest rate is no longer in Japan but Switzerland after the Swiss National Bank cut rates by a quarter-point on...,20 Mar 2025,2025-03-20
Bank of Japan leaves interest rates unchanged at 0.5 percent,Asia News Network,The Bank of Japan decided to leave policy interest rates unchanged at around 0.5% at its Monetary Policy Meeting on Wednesday.,20 Mar 2025,2025-03-20
"Bank of Japan has to be careful in choosing when to raise interest rates, says professor","YouTube
 · CNBC International Live","Sayuri Shirai, professor at Keio University and former board member at the Bank of Japan, discusses the outlook for the central bank's monetary policy amid...",19 Mar 2025,2025-03-19
BoJ unanimously holds interest rates steady as Trump trade war forces caution,Investment Week,"The Bank of Japan held interest rates steady at 0.5%, opting for caution amid rising geopolitical tensions stemming from the US.",19 Mar 2025,2025-03-19
