headline,source,intro,date
BOJ’s newest board member avoids sending signal on timing of next rate hike,The Japan Times,The Bank of Japan's newly appointed board member Junko Koeda did her best to keep various options open over the timing of the central bank's next interest rate...,27 Mar 2025
Major Japan regional bank seeks stake in peer as interest rates rise,Nikkei Asia,Japanese regional lender Chiba Bank is finalizing plans to acquire a nearly 20% stake in peer Chiba Kogyo Bank for an estimated 20 billion yen ($133 million).,27 Mar 2025
Japan corporate bond offerings near record levels on rate rise expectations,Nikkei Asia,"TOKYO -- Corporate bond issuance in Japan is on track to reach 13.7 trillion yen ($92.1 billion) this fiscal year, the third-largest value ever, as co.",22 Mar 2025
"Japan core inflation rose 3% in February, bolstering expectations of interest rate hikes",NBC 5 Chicago,"Japan's core inflation beat expectations and came in at 3% in February, government data showed on Friday, bolstering the case for further interest rate...",20 Mar 2025
The world’s lowest interest rate no longer belongs to Japan,MarketWatch,Referenced Symbols ... The world's lowest interest rate is no longer in Japan but Switzerland after the Swiss National Bank cut rates by a quarter-point on...,20 Mar 2025
Bank of Japan leaves interest rates unchanged at 0.5 percent,Asia News Network,The Bank of Japan decided to leave policy interest rates unchanged at around 0.5% at its Monetary Policy Meeting on Wednesday.,20 Mar 2025
"Bank of Japan has to be careful in choosing when to raise interest rates, says professor","YouTube
 · CNBC International Live","Sayuri Shirai, professor at Keio University and former board member at the Bank of Japan, discusses the outlook for the central bank's monetary policy amid...",19 Mar 2025
Bank of Japan keeps interest rates steady as Trump risks loom,The Economic Times,Bank of Japan keeps interest rates steady as Trump risks loom ... The Bank of Japan maintains interest rates at 0.5% amid concerns over U.S. tariffs impacting...,19 Mar 2025
BoJ Governor Ueda addresses press conference after holding interest rate,FXStreet,Bank of Japan (BoJ) Governor Kazuo Ueda explained the reasons behind maintaining the key interest rate at 0.50% during the March meeting in his press...,19 Mar 2025
Bitcoin Price Little Changed as Bank of Japan Keeps Interest Rate Steady,CoinDesk,"The bitcoin (BTC) price showed little reaction after the Bank of Japan (BOJ) held its benchmark interest rate unchanged at 0.5% on Wednesday, a decision that...",19 Mar 2025
USD/JPY: Yen Steady Near ¥150 to Dollar as Bank of Japan Keeps Interest Rates Unchanged,TradingView,USD/JPY: Yen Steady Near ¥150 to Dollar as Bank of Japan Keeps Interest Rates Unchanged ... Key points: ... Japan's central bank maintained a steady hand on...,19 Mar 2025
"Bank of Japan keeps interest rates steady, warns of Trump tariff risks",The Globe and Mail,"Bank of Japan keeps interest rates steady, warns of Trump tariff risks ... The Bank of Japan kept interest rates steady on Wednesday and warned of heightening...",19 Mar 2025
Trump tariff uncertainty pushes Bank of Japan to hold interest rates,Financial Times,"The unanimous decision, which came at the conclusion of a two-day meeting of the Japanese central bank's policy board, left the short-term policy rate at about...",19 Mar 2025
Bitcoin Price Steady on Bank of Japan Interest Rate Decision as Fed Speech Looms,Decrypt,Bitcoin price steady on Bank of Japan interest rate decision as Fed speech looms. News News News AI AI AI Learn Learn Learn Gaming Gaming Gaming,19 Mar 2025
Bank of Japan keeps rates steady as Trump tariffs cast a shadow over economic outlook,CNBC,"Japan's central bank kept its key policy rate steady at 0.5% at Wednesday's conclusion of a two-day meeting. The move, which was in line with market...",18 Mar 2025
Banks boom and shoppers scrimp a year after Japan’s rate pivot,The Japan Times,"One year on from Japan's historic rate hike, profits at its biggest banks are soaring to records, while price rises are forcing consumers to cut back.",17 Mar 2025
Banks boom and shoppers scrimp a year after Japan’s rate pivot,The Straits Times,"TOKYO – One year on from Japan's historic rate hike, profits at its biggest banks are soaring to records, while price rises are forcing consumers to cut...",17 Mar 2025
BoJ unanimously holds interest rates steady as Trump trade war forces caution,Investment Week,"The Bank of Japan held interest rates steady at 0.5%, opting for caution amid rising geopolitical tensions stemming from the US.",19 Mar 2025
"Japan’s on course for July rate hike, but risk of June increases",Oxford Economics,"The Bank of Japan (BoJ) kept its policy rate at 0.50% at Wednesday's meeting, as expected. Despite a marginally higher increase in pay than last year at the...",19 Mar 2025
Bank of Japan maintains policy rate in March,FocusEconomics,"At its meeting on 19 March, the Bank of Japan (BOJ) decided to keep its policy rate at 0.50%. The decision was expected by market analysts.",19 Mar 2025
Foreign visitors have been driving Japan’s economy. A stronger yen could reverse that trend,CNBC,"Inbound tourism contributed half of Japan's full-year GDP growth rate of 1.5% in 2023, and 0.4 percentage points to Japan's 0.1% annual GDP growth last year...",19 Mar 2025
Bank of Japan keeps interest rates steady as Trump risks loom,The Economic Times,Bank of Japan keeps interest rates steady as Trump risks loom ... The Bank of Japan maintains interest rates at 0.5% amid concerns over U.S. tariffs impacting...,19 Mar 2025
BoJ Governor Ueda addresses press conference after holding interest rate,FXStreet,Bank of Japan (BoJ) Governor Kazuo Ueda explained the reasons behind maintaining the key interest rate at 0.50% during the March meeting in his press...,19 Mar 2025
Bitcoin Price Little Changed as Bank of Japan Keeps Interest Rate Steady,CoinDesk,"The bitcoin (BTC) price showed little reaction after the Bank of Japan (BOJ) held its benchmark interest rate unchanged at 0.5% on Wednesday, a decision that...",19 Mar 2025
Trump tariff uncertainty pushes Bank of Japan to hold interest rates,Financial Times,"The unanimous decision, which came at the conclusion of a two-day meeting of the Japanese central bank's policy board, left the short-term policy rate at about...",19 Mar 2025
Bank of Japan keeps rates steady as Trump tariffs cast a shadow over economic outlook,CNBC,"Japan's central bank kept its key policy rate steady at 0.5% at Wednesday's conclusion of a two-day meeting. The move, which was in line with market...",18 Mar 2025
BOJ to Hold Rate Steady as Concern Over Global Outlook Mounts,Bloomberg,The Bank of Japan is expected to keep its benchmark interest rate unchanged this week as concerns over global economic prospects mount due to escalating trade...,17 Mar 2025
Signing of Japanese ODA Loan Agreement with the Philippines: Contributing to the deepening of bilateral relations between Japan and the Philippines by supporting the Philippines’ achievement of the SDGs ｜ News＆Publication,JICA - 国際協力機構,"On March 24, the Japan International Cooperation Agency (JICA) signed loan agreements with the Government of the Republic of the Philippines in the capital...",25 Mar 2025
"BOJ discussed chance of more rate hikes at January meeting, minutes show",Reuters,"Bank of Japan policymakers discussed the pace of raising interest rates further after deciding to hike short-term interest rates to the highest in 17 years,...",24 Mar 2025
Japanese Yen Forecast: USD/JPY Eyes Bullish Break as Risk Sentiment Takes Charge,City Index UK,USD/JPY is pressing against resistance as Japan's fiscal year-end adds to quarter-end volatility risks. With interest rate differentials playing a reduc...,23 Mar 2025
Japan corporate bond offerings near record levels on rate rise expectations,Nikkei Asia,"TOKYO -- Corporate bond issuance in Japan is on track to reach 13.7 trillion yen ($92.1 billion) this fiscal year, the third-largest value ever, as co.",22 Mar 2025
"Japan core inflation rose 3% in February, bolstering expectations of interest rate hikes",NBC New York,"Japan's core inflation beat expectations and came in at 3% in February, government data showed on Friday, bolstering the case for further interest rate...",20 Mar 2025
The world’s lowest interest rate no longer belongs to Japan,MarketWatch,Referenced Symbols ... The world's lowest interest rate is no longer in Japan but Switzerland after the Swiss National Bank cut rates by a quarter-point on...,20 Mar 2025
Bank of Japan leaves interest rates unchanged at 0.5 percent,Asia News Network,The Bank of Japan decided to leave policy interest rates unchanged at around 0.5% at its Monetary Policy Meeting on Wednesday.,20 Mar 2025
"Bank of Japan has to be careful in choosing when to raise interest rates, says professor","YouTube
 · CNBC International Live","Sayuri Shirai, professor at Keio University and former board member at the Bank of Japan, discusses the outlook for the central bank's monetary policy amid...",19 Mar 2025
"Crypto Climbs as Bank of Japan Holds Rates, Focus Shifts To Fed",CCN.com,"The Bank of Japan (BoJ) kept its key interest rate unchanged on Wednesday, maintaining its monetary policy as it assesses inflationary pressures and economic...",19 Mar 2025
Bank of Japan maintains policy rate in March,FocusEconomics,"At its meeting on 19 March, the Bank of Japan (BOJ) decided to keep its policy rate at 0.50%. The decision was expected by market analysts.",19 Mar 2025
